Create Customer,2023-05-28 10:02:46
Create Customer,2023-05-28 10:12:05
Create Customer,2023-05-28 10:20:56
View Account Details,2023-05-28 10:30:54
Customer Management,2023-05-28 10:52:32
Create Customer,2023-05-28 10:52:34
Update Customer,2023-05-28 10:52:44
View Customer Details,2023-05-28 10:52:55
Delete Customer,2023-05-28 10:53:01
View Customer Details,2023-05-28 10:53:05
Update Customer,2023-05-28 10:53:09
Account Management,2023-05-28 10:53:15
Login,2023-05-28 10:53:18
Create Account,2023-05-28 10:53:25
View Account Details,2023-05-28 10:53:37
Transaction Management,2023-05-28 10:53:58
Deposit,2023-05-28 10:54:00
Withdraw,2023-05-28 10:54:06
Transfer,2023-05-28 10:54:13
Transfer,2023-05-28 10:55:04
